,bannerGroupCode,bannerTitle,bannerImage,displayOrder
,LOGO0001,로고 전용 - 상단로고,/assets/img/banner/header-logo.png,1
,BANNER01,움직이는 배너 - 메인 상단 배너,/assets/img/banner/main-banner01.png,1
,BANNER02,일반 배너 - 메인 중간 배너1,/assets/img/banner/main_banner1.png,1
,BANNER03,일반 배너 - 메인 중간 배너2,/assets/img/banner/main_banner2.png,1
,BANNER04,일반 배너 - 메인 중간 배너3,/assets/img/banner/main_banner3.png,1
,BANNER05,일반 배너 - 메인 중간 배너4,/assets/img/banner/main_banner4.png,1
,BANNER06,일반 배너 - 메인 중간 배너5,/assets/img/banner/main_banner5.png,1
,BANNER07,일반 배너 - 메인 하단 배너,/assets/img/banner/main_banner6.png,1
